symbol,date,price
EE Claim Status,Jan 2008,38
EE Claim Status,Feb 2008,132
EE Claim Status,Mar 2008,21
EE Claim Status,Apr 2008,65
EE Claim Status,May 2008,141
EE Claim Status,Jun 2008,138
EE Claim Status,Jul 2008,161
EE Claim Status,Aug 2008,1019
EE Claim Status,Sep 2008,195
EE Claim Status,Oct 2008,109
EE Claim Status,Nov 2008,73
EE Claim Status,Dec 2008,79
EE Claim Status,Jan 2009,593
EE Claim Status,Feb 2009,1285
EE Claim Status,Mar 2009,202
EE Claim Status,Apr 2009,182
EE Claim Status,May 2009,230
EE Claim Status,Jun 2009,175
EE Claim Status,Jul 2009,181
EE Claim Status,Aug 2009,213
EE Claim Status,Sep 2009,177
EE Claim Status,Oct 2009,378
EE Claim Status,Nov 2009,338
EE Claim Status,Dec 2009,161
EE Claim Status,Jan 2010,186
EE Claim Status,Feb 2010,254
EE Claim Status,Mar 2010,170
EE Claim Status,Apr 2010,1377
EE Claim Status,May 2010,202
EE Claim Status,Jun 2010,266
